meeting_id,fecha,anio,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
RPM-2014-05-15,2014-05-15,2014,65.0,0.0,5.0,60.0,0.0,0.07692307692307693,0.9230769230769231,-0.07692307692307693,-1.0,0.07692307692307693,-0.0874791140232318
RPM-2014-06-12,2014-06-12,2014,78.0,1.0,7.0,70.0,0.01282051282051282,0.08974358974358974,0.8974358974358975,-0.07692307692307693,-0.75,0.10256410256410256,-0.09089906488747905
RPM-2014-07-15,2014-07-15,2014,56.0,0.0,11.0,45.0,0.0,0.19642857142857142,0.8035714285714286,-0.19642857142857142,-1.0,0.19642857142857142,-0.17375778971545033
RPM-2014-08-14,2014-08-14,2014,59.0,0.0,11.0,48.0,0.0,0.1864406779661017,0.8135593220338984,-0.1864406779661017,-1.0,0.1864406779661017,-0.15051506827635666
RPM-2014-09-11,2014-09-11,2014,61.0,0.0,9.0,52.0,0.0,0.14754098360655737,0.8524590163934426,-0.14754098360655737,-1.0,0.14754098360655737,-0.09395814667979609
RPM-2014-10-16,2014-10-16,2014,65.0,0.0,12.0,53.0,0.0,0.18461538461538463,0.8153846153846154,-0.18461538461538463,-1.0,0.18461538461538463,-0.15008799168690412
RPM-2014-11-18,2014-11-18,2014,42.0,0.0,7.0,35.0,0.0,0.16666666666666666,0.8333333333333334,-0.16666666666666666,-1.0,0.16666666666666666,-0.0931397716321046
RPM-2014-12-11,2014-12-11,2014,38.0,0.0,6.0,32.0,0.0,0.15789473684210525,0.8421052631578947,-0.15789473684210525,-1.0,0.15789473684210525,-0.11162118758024125
RPM-2015-01-15,2015-01-15,2015,55.0,0.0,3.0,52.0,0.0,0.05454545454545454,0.9454545454545454,-0.05454545454545454,-1.0,0.05454545454545454,-0.039072462240523576
RPM-2015-02-12,2015-02-12,2015,54.0,0.0,3.0,51.0,0.0,0.05555555555555555,0.9444444444444444,-0.05555555555555555,-1.0,0.05555555555555555,-0.04956546895827212
RPM-2015-03-19,2015-03-19,2015,57.0,2.0,4.0,51.0,0.03508771929824561,0.07017543859649122,0.8947368421052632,-0.03508771929824561,-0.3333333333333333,0.10526315789473684,-0.055366579245088844
RPM-2015-04-16,2015-04-16,2015,76.0,0.0,3.0,73.0,0.0,0.039473684210526314,0.9605263157894737,-0.039473684210526314,-1.0,0.039473684210526314,-0.04485245712679763
RPM-2015-05-14,2015-05-14,2015,72.0,0.0,1.0,71.0,0.0,0.013888888888888888,0.9861111111111112,-0.013888888888888888,-1.0,0.013888888888888888,-0.023606687206966376
RPM-2015-06-11,2015-06-11,2015,73.0,0.0,2.0,71.0,0.0,0.0273972602739726,0.9726027397260274,-0.0273972602739726,-1.0,0.0273972602739726,-0.03716002154297245
RPM-2015-07-14,2015-07-14,2015,63.0,0.0,2.0,61.0,0.0,0.031746031746031744,0.9682539682539683,-0.031746031746031744,-1.0,0.031746031746031744,-0.054659835222079706
RPM-2015-08-13,2015-08-13,2015,69.0,1.0,4.0,64.0,0.014492753623188406,0.057971014492753624,0.927536231884058,-0.043478260869565216,-0.6,0.07246376811594203,-0.04678522917811603
RPM-2015-09-15,2015-09-15,2015,84.0,6.0,2.0,76.0,0.07142857142857142,0.023809523809523808,0.9047619047619048,0.047619047619047616,0.5,0.09523809523809523,0.019864694314220336
RPM-2015-10-15,2015-10-15,2015,79.0,5.0,3.0,71.0,0.06329113924050633,0.0379746835443038,0.8987341772151899,0.02531645569620253,0.25,0.10126582278481013,0.00992863181729268
RPM-2015-11-12,2015-11-12,2015,58.0,5.0,3.0,50.0,0.08620689655172414,0.05172413793103448,0.8620689655172413,0.034482758620689655,0.25,0.13793103448275862,0.0037943310656347908
RPM-2015-12-17,2015-12-17,2015,81.0,7.0,2.0,72.0,0.08641975308641975,0.024691358024691357,0.8888888888888888,0.06172839506172839,0.5555555555555556,0.1111111111111111,0.015253541405218793
